month_year,app_count,month,year,quarter,predicted_apps
2022-01-01,1518.0,1,2022,1,
2022-02-01,264.0,2,2022,1,
2022-03-01,278.0,3,2022,1,
2022-04-01,294.0,4,2022,2,
2022-05-01,1529.0,5,2022,2,
2022-06-01,1525.0,6,2022,2,
2022-07-01,1564.0,7,2022,3,
2022-08-01,261.0,8,2022,3,
2022-09-01,311.0,9,2022,3,
2022-10-01,339.0,10,2022,4,
2022-11-01,1498.0,11,2022,4,
2022-12-01,1532.0,12,2022,4,
2023-01-01,1525.0,1,2023,1,
2023-02-01,308.0,2,2023,1,
2023-03-01,302.0,3,2023,1,
2023-04-01,316.0,4,2023,2,
2023-05-01,1536.0,5,2023,2,
2023-06-01,1549.0,6,2023,2,
2023-07-01,1594.0,7,2023,3,
2023-08-01,304.0,8,2023,3,
2023-09-01,301.0,9,2023,3,
2023-10-01,323.0,10,2023,4,
2023-11-01,1506.0,11,2023,4,
2023-12-01,1590.0,12,2023,4,
2024-01-01,1566.0,1,2024,1,
2024-02-01,285.0,2,2024,1,
2024-03-01,313.0,3,2024,1,
2024-04-01,329.0,4,2024,2,
2024-05-01,1574.0,5,2024,2,
2024-06-01,1539.0,6,2024,2,
2024-07-01,1537.0,7,2024,3,
2024-08-01,299.0,8,2024,3,
2024-09-01,322.0,9,2024,3,
2024-10-01,298.0,10,2024,4,
2024-11-01,1538.0,11,2024,4,
2024-12-01,1536.0,12,2024,4,
2025-01-01,1583.0,1,2025,1,
2025-02-01,283.0,2,2025,1,
2025-03-01,289.0,3,2025,1,
2025-04-01,295.0,4,2025,2,
2025-05-01,1488.0,5,2025,2,
2025-06-01,1529.0,6,2025,2,
2025-07-01,1559.0,7,2025,3,
2025-08-01,307.0,8,2025,3,
2025-09-01,286.0,9,2025,3,
2025-10-01,315.0,10,2025,4,
2025-11-01,1483.0,11,2025,4,
2025-12-01,1561.0,12,2025,4,
2026-01-01,,1,2026,1,1575.57
2026-02-01,,2,2026,1,297.31
2026-03-01,,3,2026,1,291.31
2026-04-01,,4,2026,2,313.83
2026-05-01,,5,2026,2,1485.88
2026-06-01,,6,2026,2,1524.32
2026-07-01,,7,2026,3,1542.41
2026-08-01,,8,2026,3,314.29
2026-09-01,,9,2026,3,295.66
2026-10-01,,10,2026,4,310.35
2026-11-01,,11,2026,4,1451.22
2026-12-01,,12,2026,4,1549.63
